ふりがな,エピソード,名前,アイドルタイプ,ドミナントアイドルタイプ,マイスタイル,レア度,特技レベル,レベル,親愛度,ボーカル,ダンス,ビジュアル,ライフ,ボイス,ソロ,入手枠,登録日,センター効果,センター効果説明,特技,特技説明
きたひなこ,［Ｒ］喜多日菜子＋,喜多日菜子,パッション,非該当,FALSE,レア＋,10,50,150,3092,2544,4785,29,TRUE,FALSE,恒常,'2015年11月30日',パッションメイク,パッションアイドルのビジュアルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
みやもとふれでりか,［Ｒ］宮本フレデリカ＋,宮本フレデリカ,キュート,非該当,FALSE,レア＋,10,50,150,3599,3647,3608,29,TRUE,FALSE,恒常,'2015年9月3日',キュートアビリティ,キュートアイドルの特技発動確率15%アップ,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復
きりゅうつかさ,［Ｒ］桐生つかさ＋,桐生つかさ,クール,非該当,FALSE,レア＋,10,50,150,2616,3168,4866,29,FALSE,FALSE,恒常,'2016年8月23日',クールメイク,クールアイドルのビジュアルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
くりはらねね,［Ｒ］栗原ネネ＋,栗原ネネ,キュート,非該当,FALSE,レア＋,10,50,150,3580,3719,3549,32,FALSE,FALSE,恒常,'2016年6月30日',キュートエナジー,キュートアイドルのライフ10%アップ,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復
ゆうきはる,［Ｒ］結城晴＋,結城晴,クール,非該当,FALSE,レア＋,10,50,150,3599,3617,3697,29,TRUE,FALSE,恒常,'2016年1月15日',クールアビリティ,クールアイドルの特技発動確率15%アップ,PERFECTサポート,13秒毎、低確率でかなりの間、GREATをPERFECTにする
つきみやみやび,［Ｒ］月宮雅＋,月宮雅,キュート,非該当,FALSE,レア＋,10,50,150,3170,4777,2637,29,FALSE,FALSE,恒常,'2016年3月11日',キュートステップ,キュートアイドルのダンスアピール値30%アップ,COMBOボーナス,6秒毎、低確率で少しの間、COMBOボーナス8%アップ
はらだみよ,［Ｒ］原田美世＋,原田美世,キュート,非該当,FALSE,レア＋,10,50,150,3439,3837,3359,32,FALSE,FALSE,恒常,'2015年12月21日',キュートエナジー,キュートアイドルのライフ10%アップ,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復
ふるさわよりこ,［Ｒ］古澤頼子＋,古澤頼子,クール,非該当,FALSE,レア＋,10,50,150,2636,3180,4840,29,FALSE,FALSE,恒常,'2016年7月31日',クールメイク,クールアイドルのビジュアルアピール値30%アップ,PERFECTサポート,9秒毎、低確率で少しの間、GREATをPERFECTにする
むかいたくみ,［Ｒ］向井拓海＋,向井拓海,パッション,非該当,FALSE,レア＋,10,50,150,3078,4811,2523,29,TRUE,FALSE,恒常,'2015年11月20日',パッションステップ,パッションアイドルのダンスアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
くどうしのぶ,［Ｒ］工藤忍＋,工藤忍,キュート,非該当,FALSE,レア＋,10,50,150,4797,3086,2532,29,FALSE,FALSE,恒常,'2015年11月13日',キュートボイス,キュートアイドルのボーカルアピール値30%アップ,COMBOボーナス,6秒毎、低確率で少しの間、COMBOボーナス8%アップ
たかがきかえで,［Ｒ］高垣楓＋,高垣楓,クール,非該当,FALSE,レア＋,10,50,150,4777,2549,3094,29,TRUE,FALSE,恒常,'2015年9月3日',クールボイス,クールアイドルのボーカルアピール値30%アップ,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ
たかはしれいこ,［Ｒ］高橋礼子＋,高橋礼子,クール,非該当,FALSE,レア＋,10,50,150,3492,3810,3429,32,FALSE,FALSE,恒常,'2016年5月25日',クールエナジー,クールアイドルのライフ10%アップ,COMBOサポート,15秒毎、低確率でしばらくの間、NICEでもCOMBOが継続する
たかみねのあ,［Ｒ］高峯のあ＋,高峯のあ,クール,非該当,FALSE,レア＋,10,50,150,3833,3670,3639,29,FALSE,FALSE,恒常,'2016年10月9日',クールアビリティ,クールアイドルの特技発動確率15%アップ,PERFECTサポート,11秒毎、低確率でしばらくの間、GREATをPERFECTにする
